PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,PRE_NBA_SEASON,PRE_NBA_GP,PRE_NBA_MPG,PRE_NBA_PPG,PRE_NBA_RPG,PRE_NBA_APG,PRE_NBA_TS_PCT,PRE_NBA_USG_PCT,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1628389,Bam Adebayo,2017,College/University,2017,38.0,30.2,13.0,8.0,0.8,0.637,0.184,2017-18,69.0,19.8,6.9,5.5,1.5,0.57,0.157
1628389,Bam Adebayo,2017,College/University,2017,38.0,30.2,13.0,8.0,0.8,0.637,0.184,2017-18,69.0,19.8,6.9,5.5,1.5,0.57,0.157
1628391,D.J. Wilson,2017,College/University,2017,38.0,30.4,11.0,5.3,1.3,0.632,0.184,2018-19,48.0,18.4,5.8,4.6,1.1,0.515,0.141
1628391,D.J. Wilson,2017,College/University,2017,38.0,30.4,11.0,5.3,1.3,0.632,0.184,2018-19,48.0,18.4,5.8,4.6,1.1,0.515,0.141
1628393,Jawun Evans,2017,College/University,2017,32.0,29.2,19.2,3.4,6.4,0.541,0.328,2017-18,48.0,16.2,4.8,1.8,2.1,0.421,0.17
1628393,Jawun Evans,2017,College/University,2017,32.0,29.2,19.2,3.4,6.4,0.541,0.328,2017-18,48.0,16.2,4.8,1.8,2.1,0.421,0.17
1628395,Jordan Bell,2017,College/University,2017,26.0,11.6,4.1,3.2,0.6,0.511,0.194,2017-18,57.0,14.2,4.6,3.6,1.8,0.641,0.134
1628395,Jordan Bell,2017,College/University,2017,39.0,28.9,10.9,8.8,1.8,0.666,0.179,2017-18,57.0,14.2,4.6,3.6,1.8,0.641,0.134
1628395,Jordan Bell,2017,College/University,2017,26.0,11.6,4.1,3.2,0.6,0.511,0.194,2017-18,57.0,14.2,4.6,3.6,1.8,0.641,0.134
1628395,Jordan Bell,2017,College/University,2017,39.0,28.9,10.9,8.8,1.8,0.666,0.179,2017-18,57.0,14.2,4.6,3.6,1.8,0.641,0.134
1628397,Ivan Rabb,2017,College/University,2017,31.0,32.6,14.0,10.5,1.5,0.55,0.238,2017-18,36.0,14.3,5.6,4.4,0.9,0.599,0.167
1628397,Ivan Rabb,2017,College/University,2017,31.0,32.6,14.0,10.5,1.5,0.55,0.238,2017-18,36.0,14.3,5.6,4.4,0.9,0.599,0.167
1628398,Kyle Kuzma,2017,College/University,2017,28.0,30.6,16.2,9.4,2.5,0.571,0.269,2017-18,77.0,31.2,16.1,6.3,1.8,0.549,0.219
