TEAM_ID,PLAYER_ID,PLAYER_NAME,ROSTERSTATUS,SEASON
1610612749,1631172,Ousmane Dieng,1,2025-26
1610612741,1642265,Rob Dillingham,1,2025-26
1610612747,1629029,Luka Dončić,1,2025-26
1610612760,1629652,Luguentz Dort,1,2025-26
1610612750,1630245,Ayo Dosunmu,1,2025-26
1610612755,203083,Andre Drummond,1,2025-26
1610612746,1627739,Kris Dunn,1,2025-26
1610612756,1642346,Ryan Dunn,1,2025-26
1610612745,201142,Kevin Durant,1,2025-26
1610612765,1631105,Jalen Duren,1,2025-26
1610612751,1642856,Egor Dëmin,1,2025-26
1610612745,1631106,Tari Eason,1,2025-26
1610612763,1641744,Zach Edey,1,2025-26
1610612755,1642845,VJ Edgecombe,1,2025-26
1610612750,1630162,Anthony Edwards,1,2025-26
1610612755,1642348,Justin Edwards,1,2025-26
1610612739,1631165,Keon Ellis,1,2025-26
1610612755,203954,Joel Embiid,1,2025-26
1610612739,1642400,Tristan Enaruna,1,2025-26
1610612741,1642855,Noa Essengue,1,2025-26
1610612751,1630623,Tyson Etienne,1,2025-26
1610612758,1629234,Drew Eubanks,1,2025-26
1610612766,1641787,Tosan Evbuomwan,1,2025-26
1610612740,1642847,Jeremiah Fears,1,2025-26
1610612762,1642271,Kyle Filipowski,1,2025-26
1610612745,1627827,Dorian Finney-Smith,1,2025-26
1610612742,1642843,Cooper Flagg,1,2025-26
1610612756,1642853,Rasheer Fleming,1,2025-26
1610612748,1631323,Simone Fontecchio,1,2025-26
1610612759,1628368,De'Aaron Fox,1,2025-26
1610612750,1642402,Enrique Freeman,1,2025-26
1610612754,1642277,Johnny Furphy,1,2025-26
1610612742,1629655,Daniel Gafford,1,2025-26
1610612748,1642066,Myron Gardner,1,2025-26
1610612746,1629636,Darius Garland,1,2025-26
1610612738,1630568,Luka Garza,1,2025-26
1610612762,1641718,Keyonte George,1,2025-26
1610612764,1642273,Kyshawn George,1,2025-26
1610612755,202331,Paul George,1,2025-26
1610612763,201959,Taj Gibson,1,2025-26
1610612741,1630581,Josh Giddey,1,2025-26
1610612737,1642933,Keshon Gilbert,1,2025-26
1610612760,1628983,Shai Gilgeous-Alexander,1,2025-26
1610612764,1630264,Anthony Gill,1,2025-26
1610612756,1631221,Collin Gillespie,1,2025-26
1610612750,203497,Rudy Gobert,1,2025-26
1610612748,1642884,Vladislav Goldin,1,2025-26
1610612738,1642864,Hugo González,1,2025-26
1610612756,1630692,Jordan Goodwin,1,2025-26
1610612743,203932,Aaron Gordon,1,2025-26
1610612757,203924,Jerami Grant,1,2025-26
1610612762,1643060,Hayden Gray,1,2025-26
1610612749,1631260,AJ Green,1,2025-26
1610612744,203110,Draymond Green,1,2025-26
1610612756,1630224,Jalen Green,1,2025-26
1610612765,1629750,Javonte Green,1,2025-26
1610612745,201145,Jeff Green,1,2025-26
1610612766,1630182,Josh Green,1,2025-26
1610612755,1629656,Quentin Grimes,1,2025-26
1610612741,1631338,Mouhamadou Gueye,1,2025-26
1610612737,1631243,Mouhamed Gueye,1,2025-26
1610612747,1629060,Rui Hachimura,1,2025-26
1610612766,1641790,PJ Hall,1,2025-26
1610612743,203501,Tim Hardaway Jr.,1,2025-26
1610612739,201935,James Harden,1,2025-26
1610612764,1630702,Jaden Hardy,1,2025-26
1610612762,1641989,Elijah Harkless,1,2025-26
1610612759,1642844,Dylan Harper,1,2025-26
1610612738,1631199,Ron Harper Jr.,1,2025-26
1610612749,203914,Gary Harris,1,2025-26
1610612765,202699,Tobias Harris,1,2025-26
1610612752,1628404,Josh Hart,1,2025-26
1610612760,1628392,Isaiah Hartenstein,1,2025-26
1610612738,1630573,Sam Hauser,1,2025-26
1610612740,1641722,Jordan Hawkins,1,2025-26
1610612747,1629637,Jaxson Hayes,1,2025-26
1610612758,1630165,Killian Hayes,1,2025-26
1610612757,1630703,Scoot Henderson,1,2025-26
1610612763,1641707,Taylor Hendricks,1,2025-26
1610612761,1642935,Chucky Hepburn,1,2025-26
1610612748,1629639,Tyler Herro,1,2025-26
1610612737,1627741,Buddy Hield,1,2025-26
1610612756,1629312,Haywood Highsmith,1,2025-26
1610612762,1642396,Blake Hinson,1,2025-26
1610612745,1628988,Aaron Holiday,1,2025-26
1610612757,201950,Jrue Holiday,1,2025-26
1610612765,1641842,Ronald Holland II,1,2025-26
1610612743,1641747,DaRon Holmes II,1,2025-26
1610612760,1631096,Chet Holmgren,1,2025-26
1610612744,201143,Al Horford,1,2025-26
1610612753,1641724,Jett Howard,1,2025-26
1610612765,1628989,Kevin Huerter,1,2025-26
1610612754,1630643,Jay Huff,1,2025-26
1610612752,1630574,Ariel Hukporti,1,2025-26
1610612758,1629631,De'Andre Hunter,1,2025-26
1610612756,1643047,CJ Huntley,1,2025-26
1610612750,1630538,Bones Hyland,1,2025-26
1610612756,1642345,Oso Ighodaro,1,2025-26
1610612750,204060,Joe Ingles,1,2025-26
1610612761,1627742,Brandon Ingram,1,2025-26
1610612759,1631127,Harrison Ingram,1,2025-26
1610612753,1628371,Jonathan Isaac,1,2025-26
1610612763,1641713,GG Jackson,1,2025-26
1610612746,1630543,Isaiah Jackson,1,2025-26
1610612754,1631245,Quenton Jackson,1,2025-26
1610612749,1641748,Andre Jackson Jr.,1,2025-26
1610612762,1628991,Jaren Jackson Jr.,1,2025-26
1610612761,1631218,Trayce Jackson-Davis,1,2025-26
1610612748,1642857,Kasparas Jakučionis,1,2025-26
1610612747,1642355,Bronny James,1,2025-26
1610612747,2544,LeBron James,1,2025-26
1610612766,1642883,Sion James,1,2025-26
1610612748,1631170,Jaime Jaquez Jr.,1,2025-26
1610612752,1641998,Trey Jemison III,1,2025-26
1610612765,1642450,Daniss Jenkins,1,2025-26
1610612763,1629660,Ty Jerome,1,2025-26
1610612760,1630198,Isaiah Joe,1,2025-26
1610612742,1642358,AJ Johnson,1,2025-26
1610612743,1629661,Cameron Johnson,1,2025-26
1610612751,1643052,Chaney Johnson,1,2025-26
1610612737,1630552,Jalen Johnson,1,2025-26
1610612759,1629640,Keldon Johnson,1,2025-26
1610612748,1642352,Keshad Johnson,1,2025-26
1610612764,1642848,Tre Johnson,1,2025-26
1610612743,203999,Nikola Jokić,1,2025-26
1610612743,1642938,Curtis Jones,1,2025-26
1610612752,1641794,Dillon Jones,1,2025-26
1610612740,1630529,Herbert Jones,1,2025-26
1610612765,1642403,Isaac Jones,1,2025-26
1610612754,1642880,Kam Jones,1,2025-26
1610612743,1642461,Spencer Jones,1,2025-26
1610612741,1630200,Tre Jones,1,2025-26
1610612743,1626145,Tyus Jones,1,2025-26
1610612759,1642357,David Jones Garcia,1,2025-26
1610612746,1627884,Derrick Jones Jr.,1,2025-26
1610612740,201599,DeAndre Jordan,1,2025-26
1610612748,1631107,Nikola Jović,1,2025-26
1610612766,1641750,Ryan Kalkbrenner,1,2025-26
1610612741,1642530,Yuki Kawamura,1,2025-26
1610612748,1631211,Trevor Keels,1,2025-26
1610612747,1628379,Luke Kennard,1,2025-26
1610612757,1643257,Jayson Kent,1,2025-26
1610612762,1631117,Walker Kessler,1,2025-26
1610612737,1630557,Corey Kispert,1,2025-26
1610612747,1628467,Maxi Kleber,1,2025-26
