PLAYER_ID,PLAYER_NAME,TEAM_ID,OLD_SEASON,NEW_SEASON
1629123,Jared Terrell,1610612750,2017-18,2018-19
1628966,Keita Bates-Diop,1610612750,2017-18,2018-19
1629006,Josh Okogie,1610612750,2017-18,2018-19
1628249,Mitchell Creek,1610612750,2017-18,2018-19
1629244,Cam Reynolds,1610612750,2017-18,2018-19
1628515,Isaiah Briscoe,1610612753,2017-18,2018-19
1628964,Mo Bamba,1610612753,2017-18,2018-19
1628518,Amile Jefferson,1610612753,2017-18,2018-19
1628982,Melvin Frazier Jr.,1610612753,2017-18,2018-19
1628505,Troy Caupain,1610612753,2017-18,2018-19
1628961,Kostas Antetokounmpo,1610612742,2017-18,2018-19
1629029,Luka Dončić,1610612742,2017-18,2018-19
1629133,Daryl Macon,1610612742,2017-18,2018-19
1628973,Jalen Brunson,1610612742,2017-18,2018-19
1629151,Ryan Broekhoff,1610612742,2017-18,2018-19
1629185,Chris Chiozza,1610612745,2017-18,2018-19
1628392,Isaiah Hartenstein,1610612745,2017-18,2018-19
1628979,Trevon Duval,1610612745,2017-18,2018-19
203093,Terrence Jones,1610612745,2017-18,2018-19
1629109,Gary Clark,1610612745,2017-18,2018-19
1629053,Vincent Edwards,1610612745,2017-18,2018-19
203263,James Nunnally,1610612745,2017-18,2018-19
1629057,Robert Williams III,1610612738,2017-18,2018-19
202954,Brad Wanamaker,1610612738,2017-18,2018-19
1628993,Alize Johnson,1610612754,2017-18,2018-19
1628988,Aaron Holiday,1610612754,2017-18,2018-19
203552,Seth Curry,1610612757,2017-18,2018-19
1629018,Gary Trent Jr.,1610612757,2017-18,2018-19
1629014,Anfernee Simons,1610612757,2017-18,2018-19
202690,Jimmer Fredette,1610612756,2017-18,2018-19
1629059,Elie Okobo,1610612756,2017-18,2018-19
1629028,Deandre Ayton,1610612756,2017-18,2018-19
1628994,George King,1610612756,2017-18,2018-19
1629001,De'Anthony Melton,1610612756,2017-18,2018-19
1628969,Mikal Bridges,1610612756,2017-18,2018-19
1629034,Ray Spalding,1610612756,2017-18,2018-19
1628960,Grayson Allen,1610612762,2017-18,2018-19
1628977,Hamidou Diallo,1610612760,2017-18,2018-19
1629093,Tyler Davis,1610612760,2017-18,2018-19
1629126,Deonte Burton,1610612760,2017-18,2018-19
1629055,Donte Grantham,1610612760,2017-18,2018-19
1629067,Isaac Bonga,1610612747,2017-18,2018-19
1629203,Jemerrio Jones,1610612747,2017-18,2018-19
1629140,Johnathan Williams,1610612747,2017-18,2018-19
203159,Scott Machado,1610612747,2017-18,2018-19
1629021,Moritz Wagner,1610612747,2017-18,2018-19
1628070,Jordan Loyd,1610612761,2017-18,2018-19
