PLAYER_ID,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME
201985,AJ,1610612754,IND,25.0,44,27,17,0.614,568.03,59,174,0.339,26,88,0.295,28,35,0.8,13,48,61,86,32,20,2,4,30,31,172,36,408.2,0,0,389.0,1,2011-12,12.9,99.1,98.9,98.9,98.7,97.7,97.7,0.4,1.2,1.2,0.264,2.69,28.0,0.021,0.092,0.054,10.4,10.4,0.414,0.454,0.171,0.175,92.93,93.5,77.92,93.5,0.095,1118,1.3,4.0,AJ Price
201189,Aaron,1610612761,TOR,27.0,49,17,32,0.347,812.6583333333333,83,161,0.516,0,0,0.0,25,47,0.532,83,198,281,27,51,22,17,15,127,39,191,-153,634.7,2,0,577.0,1,2011-12,16.6,97.7,96.4,96.4,105.6,106.5,106.5,-8.0,-10.0,-10.0,0.055,0.53,10.4,0.105,0.265,0.183,19.6,19.6,0.516,0.526,0.134,0.137,90.41,90.64,75.53,90.64,0.078,1535,1.7,3.3,Aaron Gray
1733,Al,1610612743,DEN,32.0,64,36,28,0.563,1760.985,345,773,0.446,101,303,0.333,119,176,0.676,72,318,390,88,112,58,12,51,181,140,910,166,1608.0,9,0,1629.0,1,2011-12,27.5,106.7,107.5,107.5,101.9,102.5,102.5,4.8,5.0,5.0,0.083,0.79,8.4,0.042,0.181,0.113,10.6,10.7,0.512,0.535,0.241,0.245,96.56,95.95,79.96,95.95,0.104,3516,5.4,12.1,Al Harrington
201143,Al,1610612737,ATL,26.0,11,7,4,0.636,347.9833333333333,57,103,0.553,0,1,0.0,22,30,0.733,26,51,77,24,16,10,14,7,21,27,136,52,320.4,2,0,285.0,1,2011-12,31.6,106.1,108.6,108.6,99.3,100.3,100.3,6.8,8.3,8.3,0.113,1.5,15.6,0.077,0.156,0.116,10.4,10.2,0.553,0.585,0.174,0.178,91.56,90.07,75.06,90.07,0.13,652,5.2,9.4,Al Horford
2744,Al,1610612762,UTA,27.0,61,32,29,0.525,2074.96,516,1048,0.492,1,4,0.25,137,177,0.774,133,452,585,134,62,47,101,61,155,143,1170,159,2455.0,31,0,2186.0,1,2011-12,34.0,107.5,108.8,108.8,104.4,104.8,104.8,3.1,4.1,4.1,0.113,2.16,10.1,0.067,0.223,0.146,4.7,4.7,0.493,0.52,0.258,0.261,93.54,92.81,77.34,92.81,0.154,4010,8.5,17.2,Al Jefferson
202329,Al-Farouq,1610612740,NOH,21.0,66,21,45,0.318,1477.0433333333333,150,365,0.411,13,47,0.277,86,114,0.754,95,213,308,66,91,59,34,39,136,103,399,-34,1055.6,2,0,972.0,1,2011-12,22.4,98.7,98.6,98.6,98.9,98.9,98.9,-0.2,-0.2,-0.2,0.074,0.73,11.5,0.07,0.148,0.11,15.9,15.9,0.429,0.481,0.159,0.163,90.02,90.12,75.1,90.12,0.075,2759,2.3,5.5,Al-Farouq Aminu
101187,Alan,1610612761,TOR,29.0,17,7,10,0.412,460.725,55,142,0.387,24,61,0.393,29,34,0.853,8,26,34,26,25,5,3,7,35,32,163,-25,241.8,0,0,263.0,1,2011-12,27.1,97.1,96.3,96.3,98.7,99.0,99.0,-1.6,-2.7,-2.7,0.1,1.04,12.6,0.018,0.057,0.038,12.1,12.0,0.472,0.519,0.186,0.191,89.42,89.7,74.75,89.7,0.052,860,3.2,8.4,Alan Anderson
202692,Alec,1610612762,UTA,20.0,59,33,26,0.559,938.9033333333332,153,357,0.429,15,45,0.333,104,143,0.727,57,75,132,55,51,27,5,35,84,101,425,-25,710.9,0,0,691.0,1,2011-12,15.9,101.7,101.7,101.7,104.0,103.7,103.7,-2.3,-1.9,-1.9,0.1,1.08,10.5,0.059,0.081,0.069,9.8,9.7,0.45,0.506,0.212,0.218,93.86,93.96,78.3,93.96,0.081,1843,2.6,6.1,Alec Burks
202087,Alonzo,1610612739,CLE,25.0,63,20,43,0.317,1827.0466666666664,227,551,0.412,44,137,0.321,167,212,0.788,101,221,322,113,114,83,17,57,149,140,665,-215,1406.9,2,0,1344.0,1,2011-12,29.0,98.3,99.7,99.7,104.4,105.6,105.6,-6.1,-5.9,-5.9,0.109,0.99,13.0,0.053,0.123,0.087,13.1,13.1,0.452,0.516,0.184,0.187,94.05,92.88,77.4,92.88,0.089,3533,3.6,8.7,Alonzo Gee
2405,Amar'e,1610612752,NYK,29.0,47,22,25,0.468,1543.22,316,654,0.483,5,21,0.238,186,243,0.765,106,261,367,52,112,38,45,59,138,194,823,-44,1478.4,16,0,1413.0,1,2011-12,32.8,98.1,99.9,99.9,100.9,101.8,101.8,-2.8,-1.9,-1.9,0.063,0.46,5.6,0.069,0.176,0.121,12.2,12.1,0.487,0.541,0.248,0.251,96.1,94.8,79.0,94.8,0.124,3055,6.7,13.9,Amar'e Stoudemire
