PLAYER_ID,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME
952,Antoine,1610612738,BOS,25.0,81,48,33,0.593,3406.435,666,1689,0.394,222,645,0.344,240,324,0.741,150,564,714,407,251,122,38,125,237,0,1794,240,3490.3,29,2,3457.0,1,2001-02,42.1,101.9,102.8,102.8,98.2,99.7,99.7,3.7,3.1,3.1,0.224,1.62,16.3,0.043,0.165,0.103,10.1,10.1,0.46,0.49,0.275,0.277,95.04,93.91,78.26,93.91,0.126,6681,8.2,20.9,Antoine Walker
1498,Antonio,1610612759,SAS,27.0,82,58,24,0.707,2169.815,269,612,0.44,57,196,0.291,158,210,0.752,23,153,176,228,70,48,12,27,104,0,753,263,1416.2,0,0,1334.0,1,2001-02,26.5,104.3,104.4,104.4,97.3,98.1,98.1,7.0,6.4,6.4,0.176,3.26,22.8,0.011,0.068,0.041,7.0,7.0,0.486,0.534,0.162,0.166,92.42,91.98,76.65,91.98,0.097,4157,3.3,7.5,Antonio Daniels
213,Antonio,1610612761,TOR,33.0,77,41,36,0.532,2976.945,410,963,0.426,0,1,0.0,293,358,0.818,254,486,740,155,159,54,83,85,225,6,1113,-9,2485.5,33,0,2282.0,1,2001-02,38.7,99.7,101.4,101.4,100.0,101.1,101.1,-0.3,0.3,0.3,0.087,0.97,10.8,0.084,0.167,0.125,11.1,11.1,0.426,0.497,0.195,0.196,91.25,90.03,75.02,90.03,0.11,5571,5.3,12.5,Antonio Davis
176,Antonio,1610612760,SEA,31.0,5,3,2,0.6,47.58833333333333,4,12,0.333,0,0,0.0,1,2,0.5,5,4,9,5,3,1,3,0,8,0,9,-13,36.3,0,0,31.0,1,2001-02,9.5,102.7,104.4,104.4,114.1,117.4,117.4,-11.3,-13.0,-13.0,0.143,1.67,23.8,0.098,0.074,0.086,14.3,14.4,0.333,0.349,0.148,0.149,94.39,92.29,76.91,92.29,0.018,91,0.8,2.4,Antonio Harvey
686,Antonio,1610612743,DEN,27.0,10,3,7,0.3,235.06833333333333,43,75,0.573,0,0,0.0,27,33,0.818,18,37,55,18,20,10,8,6,20,0,113,-66,240.0,1,0,222.0,1,2001-02,23.5,93.7,95.3,95.3,109.6,109.6,109.6,-15.9,-14.3,-14.3,0.136,0.9,14.1,0.084,0.191,0.134,15.6,15.7,0.573,0.631,0.208,0.209,96.47,95.67,79.72,95.67,0.133,469,4.3,7.5,Antonio McDyess
2238,Antonis,1610612763,MEM,21.0,28,6,22,0.214,317.35,42,104,0.404,7,23,0.304,17,20,0.85,25,37,62,10,21,9,11,9,22,0,108,-32,236.4,0,0,227.0,1,2001-02,11.3,94.8,93.3,93.3,100.9,99.0,99.0,-6.1,-5.7,-5.7,0.057,0.48,6.9,0.08,0.11,0.095,14.6,14.6,0.438,0.479,0.184,0.19,93.36,94.99,79.16,94.99,0.077,630,1.5,3.7,Antonis Fotsis
1609,Art,1610612760,SEA,29.0,63,37,26,0.587,988.665,120,244,0.492,0,0,0.0,45,85,0.529,107,144,251,41,63,22,28,20,180,1,285,-24,734.7,3,0,677.0,1,2001-02,15.7,103.3,102.9,102.9,103.4,102.8,102.8,-0.1,0.1,0.1,0.063,0.65,10.6,0.114,0.154,0.134,16.2,16.3,0.492,0.506,0.161,0.164,90.54,90.96,75.8,90.96,0.048,1861,1.9,3.9,Art Long
1506,Austin,1610612754,IND,27.0,76,39,37,0.513,1282.7233333333334,185,448,0.413,49,145,0.338,97,114,0.851,74,220,294,77,67,26,29,26,106,0,516,58,1082.3,4,0,1046.0,1,2001-02,16.9,100.5,100.5,100.5,100.3,99.4,99.4,0.2,1.1,1.1,0.104,1.15,12.0,0.058,0.169,0.114,10.5,10.4,0.468,0.518,0.194,0.198,94.13,94.58,78.82,94.58,0.111,2543,2.4,5.9,Austin Croshere
422,Avery,1610612742,DAL,37.0,68,27,41,0.397,1353.5183333333334,207,432,0.479,0,5,0.0,121,163,0.742,14,55,69,286,76,40,9,45,86,0,535,-157,1117.8,6,0,988.0,2,2001-02,19.9,101.6,103.2,103.2,108.6,108.8,108.8,-7.0,-5.6,-5.6,0.356,3.76,32.9,0.01,0.041,0.026,8.8,8.8,0.479,0.531,0.196,0.197,91.7,90.89,75.74,90.89,0.111,2557,3.0,6.4,Avery Johnson
1884,Baron,1610612766,CHH,23.0,82,44,38,0.537,3319.765,559,1341,0.417,170,478,0.356,196,338,0.58,93,256,349,698,246,172,47,63,241,0,1484,150,3360.8,29,1,3139.0,1,2001-02,40.5,102.8,104.3,104.3,100.4,102.0,102.0,2.4,2.3,2.3,0.364,2.84,28.7,0.028,0.078,0.053,10.1,10.1,0.48,0.498,0.234,0.237,92.77,91.38,76.15,91.38,0.121,6322,6.8,16.4,Baron Davis
