PLAYER_ID,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME
1630639,A.J.,1610612761,TOR,24.0,26,14,12,0.538,486.41,80,190,0.421,33,101,0.327,43,63,0.683,20,66,86,31,15,13,6,12,44,38,236,-17,427.7,2,0,424.0,1,2024-25,18.7,109.1,109.7,109.7,112.6,111.1,111.1,-3.5,-1.4,-1.4,0.093,2.07,11.7,0.036,0.128,0.08,5.7,5.7,0.508,0.542,0.189,0.193,103.3,103.71,86.43,103.71,0.082,1050,3.1,7.3,A.J. Lawson
1631260,AJ,1610612749,MIL,25.0,73,44,29,0.603,1659.1416666666669,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,40,37,7,3,157,50,541,227,1003.8,0,0,1066.0,1,2024-25,22.7,113.5,114.0,114.0,106.9,107.6,107.6,6.6,6.4,6.4,0.086,2.7,18.6,0.011,0.087,0.051,6.9,6.9,0.612,0.621,0.123,0.127,101.39,100.84,84.03,100.84,0.058,3487,2.5,5.8,AJ Green
1642358,AJ,1610612764,WAS,20.0,29,8,21,0.276,638.3866666666667,82,213,0.385,24,90,0.267,32,37,0.865,8,51,59,76,35,12,3,18,50,27,220,-152,414.8,0,0,409.0,2,2024-25,22.0,103.5,104.1,104.1,114.8,115.6,115.6,-11.3,-11.5,-11.5,0.178,2.17,22.3,0.011,0.073,0.042,10.3,10.3,0.441,0.48,0.173,0.178,101.46,100.83,84.02,100.83,0.053,1342,2.8,7.3,AJ Johnson
203932,Aaron,1610612743,DEN,29.0,51,33,18,0.647,1446.7166666666667,264,497,0.531,75,172,0.436,145,179,0.81,80,167,247,164,73,23,14,37,82,137,748,301,1328.4,3,0,1308.0,1,2024-25,28.4,121.3,122.5,122.5,112.8,113.0,113.0,8.5,9.5,9.5,0.143,2.25,20.1,0.06,0.109,0.086,9.0,9.0,0.607,0.65,0.186,0.189,102.24,101.64,84.7,101.64,0.104,3068,5.2,9.7,Aaron Gordon
1628988,Aaron,1610612745,HOU,28.0,62,39,23,0.629,792.2466666666667,117,268,0.437,72,181,0.398,34,41,0.829,13,65,78,83,37,19,11,11,64,49,340,88,611.1,0,0,633.0,1,2024-25,12.8,109.6,110.3,110.3,105.0,103.6,103.6,4.6,6.7,6.7,0.142,2.24,20.5,0.015,0.073,0.044,9.1,9.1,0.571,0.594,0.162,0.168,102.69,103.09,85.91,103.09,0.082,1689,1.9,4.3,Aaron Holiday
1630174,Aaron,1610612754,IND,25.0,45,29,16,0.644,1121.618333333333,192,379,0.507,84,195,0.431,73,80,0.913,37,141,178,54,37,35,17,22,114,77,541,198,954.6,0,0,961.0,1,2024-25,24.9,120.7,120.1,120.1,109.8,111.5,111.5,10.9,8.5,8.5,0.063,1.46,10.8,0.034,0.118,0.078,7.4,7.3,0.617,0.653,0.171,0.176,102.15,101.64,84.7,101.64,0.087,2373,4.3,8.4,Aaron Nesmith
1630598,Aaron,1610612760,OKC,26.0,76,62,14,0.816,1743.9,355,728,0.488,130,339,0.383,74,89,0.831,81,214,295,134,69,60,18,39,101,68,914,514,1634.0,2,0,1629.0,1,2024-25,22.9,120.2,120.7,120.7,106.3,106.6,106.6,13.9,14.2,14.2,0.102,1.94,13.8,0.046,0.113,0.081,7.1,7.1,0.577,0.596,0.2,0.204,102.3,101.91,84.92,101.91,0.105,3698,4.7,9.6,Aaron Wiggins
1641745,Adam,1610612760,OKC,25.0,37,34,3,0.919,202.965,25,96,0.26,14,72,0.194,1,2,0.5,7,20,27,12,4,8,3,2,15,1,65,7,144.4,0,0,140.0,1,2024-25,5.5,101.2,99.1,99.1,98.4,96.7,96.7,2.7,2.3,2.3,0.094,3.0,10.6,0.029,0.086,0.057,3.5,3.5,0.333,0.335,0.207,0.218,98.22,100.16,83.46,100.16,0.025,422,0.7,2.6,Adam Flagler
1641766,Adama,1610612741,CHI,23.0,4,2,2,0.5,21.49833333333333,4,7,0.571,0,0,0.0,0,0,0.0,5,1,6,1,1,0,0,1,1,1,8,-5,15.7,0,0,15.0,1,2024-25,5.4,112.0,104.2,104.2,123.9,122.2,122.2,-11.9,-18.1,-18.1,0.067,1.0,11.1,0.217,0.053,0.143,11.1,11.1,0.571,0.571,0.145,0.158,99.4,103.82,86.52,103.82,0.078,48,1.0,1.8,Adama Sanogo
1641737,Adem,1610612755,PHI,22.0,58,12,46,0.207,904.55,135,192,0.703,0,1,0.0,67,100,0.67,92,153,245,27,61,26,69,13,125,90,337,-112,895.5,3,0,799.0,1,2024-25,15.6,107.3,107.4,107.4,114.1,114.0,114.0,-6.8,-6.6,-6.6,0.043,0.44,8.4,0.097,0.164,0.13,18.9,18.8,0.703,0.714,0.135,0.14,100.51,100.51,83.75,100.51,0.093,1900,2.3,3.3,Adem Bona
1642349,Ajay,1610612760,OKC,23.0,36,31,5,0.861,596.955,91,184,0.495,23,60,0.383,29,35,0.829,18,50,68,64,29,25,4,11,68,55,234,127,469.6,1,0,447.0,1,2024-25,16.6,109.3,110.0,110.0,100.2,100.2,100.2,9.1,9.7,9.7,0.153,2.21,22.1,0.028,0.08,0.053,10.0,9.9,0.557,0.587,0.159,0.165,100.96,100.63,83.86,100.63,0.082,1254,2.5,5.1,Ajay Mitchell
201143,Al,1610612738,BOS,39.0,60,44,16,0.733,1658.5733333333333,195,461,0.423,114,314,0.363,34,38,0.895,79,290,369,128,46,36,51,8,81,35,538,397,1387.8,7,0,1323.0,1,2024-25,27.6,119.2,119.6,119.6,106.5,108.1,108.1,12.8,11.5,11.5,0.102,2.78,19.6,0.046,0.165,0.106,7.0,7.1,0.547,0.563,0.136,0.139,98.66,97.75,81.46,97.75,0.091,3381,3.3,7.7,Al Horford
202692,Alec,1610612748,MIA,33.0,49,26,23,0.531,863.4966666666667,115,271,0.424,88,207,0.425,38,49,0.776,15,109,124,55,29,28,7,9,37,43,356,110,663.3,0,0,693.0,1,2024-25,17.6,113.1,113.5,113.5,106.7,107.6,107.6,6.4,5.9,5.9,0.09,1.9,14.7,0.018,0.119,0.07,7.8,7.7,0.587,0.608,0.16,0.165,98.61,98.03,81.69,98.03,0.088,1766,2.3,5.5,Alec Burks
1627936,Alex,1610612760,OKC,31.0,54,44,10,0.815,1040.635,140,314,0.446,60,170,0.353,42,51,0.824,38,121,159,137,37,87,30,14,102,62,382,321,1092.3,0,0,972.0,1,2024-25,19.3,117.0,117.5,117.5,102.3,102.5,102.5,14.7,15.0,15.0,0.171,3.7,26.9,0.035,0.108,0.072,7.3,7.2,0.541,0.568,0.147,0.152,103.01,102.7,85.58,102.7,0.101,2221,2.6,5.8,Alex Caruso
1642505,Alex,1610612760,OKC,24.0,21,20,1,0.952,125.34166666666668,12,30,0.4,10,21,0.476,2,2,1.0,9,17,26,5,4,5,0,1,12,1,36,-22,85.7,0,0,87.0,1,2024-25,6.0,101.7,99.6,99.6,105.5,106.3,106.3,-3.8,-6.7,-6.7,0.058,1.25,12.5,0.06,0.119,0.088,10.0,10.0,0.567,0.583,0.115,0.12,101.97,102.63,85.53,102.63,0.065,266,0.6,1.4,Alex Ducas
203458,Alex,1610612747,LAL,32.0,46,21,25,0.457,379.79,32,63,0.508,2,9,0.222,8,17,0.471,38,57,95,38,20,9,21,7,56,18,74,-153,315.0,0,0,269.0,2,2024-25,8.3,104.6,101.4,101.4,119.7,118.9,118.9,-15.1,-17.5,-17.5,0.143,1.9,29.5,0.094,0.142,0.118,15.5,15.6,0.524,0.525,0.101,0.106,99.68,101.55,84.63,101.55,0.057,798,0.7,1.4,Alex Len
1642024,Alex,1610612755,PHI,26.0,15,4,11,0.267,216.04666666666665,26,54,0.481,15,41,0.366,9,12,0.75,9,38,47,4,6,10,10,1,21,10,76,19,192.4,0,0,182.0,2,2024-25,14.4,116.9,117.3,117.3,111.9,111.8,111.8,5.0,5.5,5.5,0.023,0.67,5.8,0.041,0.161,0.103,8.7,8.7,0.62,0.641,0.123,0.128,104.77,104.64,87.2,104.64,0.079,468,1.7,3.6,Alex Reese
1642259,Alex,1610612764,WAS,20.0,67,13,54,0.194,1814.2283333333328,326,828,0.394,105,341,0.308,112,165,0.679,124,311,435,161,114,44,101,39,146,123,869,-546,1953.5,10,0,1860.0,1,2024-25,27.1,102.0,102.7,102.7,116.1,116.4,116.4,-14.1,-13.7,-13.7,0.139,1.41,13.7,0.06,0.158,0.108,9.7,9.7,0.457,0.482,0.23,0.234,104.83,104.3,86.91,104.3,0.084,3939,4.9,12.4,Alex Sarr
1631214,Alondes,1610612746,LAC,26.0,1,0,1,0.0,3.716666666666667,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,5,6,6.5,0,0,7.0,1,2024-25,3.7,171.4,171.4,171.4,87.2,85.7,85.7,84.2,85.7,85.7,0.333,0.0,33.3,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.286,0.286,89.63,90.4,75.34,90.4,0.4,7,2.0,2.0,Alondes Williams
