PLAYER_ID,PLAYER_NAME_trad,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,PLAYER_NAME_adv,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG
1630183,Jaden McDaniels,Jaden,1610612750,MIN,20.0,63,18,45,0.286,1510.7833333333333,164,367,0.447,72,198,0.364,27,45,0.6,52,180,232,71,47,35,60,13,172,42,427,-103,1049.9,0,0,992.0,1,2020-21,Jaden McDaniels,24.0,108.5,109.6,109.6,112.5,113.1,113.1,-4.0,-3.4,-3.4,0.064,1.51,14.1,0.032,0.118,0.073,9.3,9.3,0.545,0.552,0.118,0.121,103.92,103.13,85.94,103.13,0.05,3250,2.6,5.8
203109,Jae Crowder,Jae,1610612756,PHX,30.0,60,42,18,0.7,1648.381666666667,199,492,0.404,148,380,0.389,57,75,0.76,32,250,282,127,55,48,27,14,125,81,603,218,1301.9,0,0,1310.0,1,2020-21,Jae Crowder,27.5,114.4,114.3,114.3,107.2,107.9,107.9,7.2,6.3,6.3,0.102,2.31,18.1,0.02,0.146,0.085,7.8,7.8,0.555,0.574,0.152,0.157,100.27,100.0,83.33,100.0,0.081,3434,3.3,8.2
1630256,Jae'Sean Tate,Jae'Sean,1610612745,HOU,25.0,70,17,53,0.243,2042.7166666666667,316,625,0.506,60,195,0.308,102,147,0.694,132,242,374,178,98,85,36,46,222,163,794,-189,1774.8,3,0,1648.0,1,2020-21,Jae'Sean Tate,29.2,107.0,108.0,108.0,111.8,111.8,111.8,-4.8,-3.8,-3.8,0.127,1.82,18.4,0.06,0.118,0.088,10.1,10.1,0.554,0.576,0.161,0.163,103.22,102.71,85.59,102.71,0.083,4360,4.5,8.9
1626143,Jahlil Okafor,Jahlil,1610612765,DET,25.0,27,5,22,0.185,347.2366666666667,63,102,0.618,2,9,0.222,17,24,0.708,23,43,66,13,21,6,5,14,39,24,145,-83,255.7,0,0,248.0,1,2020-21,Jahlil Okafor,12.9,98.5,98.5,98.5,108.4,108.7,108.7,-9.8,-10.2,-10.2,0.066,0.62,8.8,0.07,0.119,0.096,14.3,14.3,0.627,0.644,0.17,0.174,99.84,99.74,83.11,99.74,0.089,717,2.3,3.8
1630186,Jahmi'us Ramsey,Jahmi'us,1610612758,SAC,20.0,13,5,8,0.385,94.475,15,38,0.395,5,19,0.263,5,5,1.0,2,8,10,6,3,4,1,1,8,5,40,2,73.0,0,0,71.0,1,2020-21,Jahmi'us Ramsey,7.3,107.0,106.7,106.7,108.3,104.2,104.2,-1.3,2.4,2.4,0.088,2.0,12.2,0.019,0.08,0.048,6.1,6.1,0.461,0.498,0.183,0.187,105.25,107.46,89.55,107.46,0.063,210,1.2,2.9
1627774,Jake Layman,Jake,1610612750,MIN,27.0,45,12,33,0.267,627.245,91,184,0.495,23,78,0.295,26,37,0.703,13,54,67,28,26,29,19,16,44,33,231,-81,471.4,0,0,445.0,1,2020-21,Jake Layman,13.9,101.5,101.5,101.5,107.4,107.3,107.3,-6.0,-5.8,-5.8,0.067,1.08,11.1,0.019,0.083,0.051,10.3,10.2,0.557,0.577,0.147,0.152,104.16,104.15,86.79,104.15,0.074,1360,2.0,4.1
1627751,Jakob Poeltl,Jakob,1610612759,SAS,25.0,69,32,37,0.464,1845.1333333333332,265,430,0.616,0,0,0.0,63,124,0.508,219,328,547,134,83,47,123,29,172,115,593,109,1877.4,15,0,1614.0,1,2020-21,Jakob Poeltl,26.7,111.5,112.2,112.2,108.7,109.0,109.0,2.7,3.2,3.2,0.096,1.61,19.3,0.114,0.173,0.143,11.9,11.8,0.616,0.612,0.13,0.134,100.28,99.84,83.2,99.84,0.1,3831,3.8,6.2
1628973,Jalen Brunson,Jalen,1610612742,DAL,24.0,68,40,28,0.588,1697.2083333333333,328,627,0.523,81,200,0.405,120,151,0.795,27,204,231,239,80,35,1,17,109,176,857,161,1520.7,1,0,1480.0,1,2020-21,Jalen Brunson,25.0,112.9,113.7,113.7,109.1,108.7,108.7,3.8,4.9,4.9,0.215,2.99,23.7,0.016,0.117,0.067,7.9,7.9,0.588,0.618,0.196,0.203,99.03,98.84,82.37,98.84,0.123,3490,4.8,9.2
1630223,Jalen Harris,Jalen,1610612761,TOR,22.0,13,3,10,0.231,172.105,36,72,0.5,17,36,0.472,7,9,0.778,3,15,18,17,14,8,0,7,15,9,96,-1,153.1,0,0,164.0,1,2020-21,Jalen Harris,13.2,108.0,108.2,108.2,108.9,107.8,107.8,-0.9,0.3,0.3,0.153,1.21,15.9,0.017,0.091,0.052,13.1,13.1,0.618,0.632,0.219,0.225,102.48,102.91,85.76,102.91,0.097,368,2.8,5.5
1629665,Jalen Lecque,Jalen,1610612754,IND,21.0,4,2,2,0.5,12.133333333333333,1,9,0.111,0,1,0.0,3,3,1.0,2,3,5,2,0,0,0,1,0,2,5,-4,14.0,0,0,12.0,1,2020-21,Jalen Lecque,3.0,69.8,77.8,77.8,92.7,92.6,92.6,-22.9,-14.8,-14.8,0.333,0.0,16.7,0.083,0.2,0.128,0.0,0.0,0.111,0.242,0.263,0.278,112.83,106.81,89.01,106.81,0.12,27,0.3,2.3
