PLAYER_ID,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME
201166,Aaron,1610612745,HOU,23.0,51,36,15,0.706,608.11,93,225,0.413,36,109,0.33,42,49,0.857,13,43,56,87,44,13,5,10,69,51,264,-4,471.7,0,0,479.0,1,2007-08,11.9,102.2,100.9,100.9,102.6,102.3,102.3,-0.4,-1.3,-1.3,0.249,1.98,23.0,0.022,0.075,0.048,11.6,11.7,0.493,0.535,0.216,0.224,90.81,91.52,76.27,91.52,0.088,1165,1.8,4.4,Aaron Brooks
201189,Aaron,1610612741,CHI,23.0,61,23,38,0.377,612.9966666666667,103,204,0.505,0,1,0.0,56,99,0.566,70,98,168,41,57,21,16,30,117,78,262,-21,579.1,2,0,545.0,1,2007-08,10.0,102.7,101.8,101.8,103.6,102.4,102.4,-0.9,-0.6,-0.6,0.113,0.72,11.9,0.112,0.163,0.137,16.5,16.5,0.505,0.529,0.213,0.221,95.35,96.35,80.29,96.35,0.074,1224,1.7,3.3,Aaron Gray
1425,Aaron,1610612746,LAC,36.0,30,9,21,0.3,296.9583333333333,27,55,0.491,0,0,0.0,14,18,0.778,15,46,61,9,13,12,15,5,44,22,68,-99,222.7,0,0,192.0,1,2007-08,9.9,93.9,94.2,94.2,109.8,108.2,108.2,-15.9,-14.0,-14.0,0.052,0.69,10.7,0.052,0.159,0.105,15.5,15.3,0.491,0.54,0.115,0.119,94.92,95.53,79.61,95.53,0.064,583,0.9,1.8,Aaron Williams
201151,Acie,1610612737,ATL,23.0,56,25,31,0.446,865.36,95,237,0.401,7,34,0.206,38,48,0.792,12,45,57,113,56,29,0,21,73,55,235,-120,503.9,0,0,470.0,1,2007-08,15.5,99.7,99.0,99.0,106.8,106.6,106.6,-7.2,-7.6,-7.6,0.218,2.02,26.5,0.014,0.054,0.034,13.1,13.1,0.416,0.455,0.159,0.164,93.53,93.96,78.3,93.96,0.054,1698,1.7,4.2,Acie Law
1502,Adonal,1610612753,ORL,33.0,82,52,30,0.634,773.7616666666667,70,153,0.458,0,0,0.0,16,34,0.471,71,137,208,18,32,16,45,22,94,40,156,-17,583.6,0,0,504.0,1,2007-08,9.4,100.0,99.1,99.1,99.5,99.6,99.6,0.5,-0.5,-0.5,0.038,0.56,8.2,0.093,0.174,0.134,14.6,14.7,0.458,0.464,0.12,0.123,91.81,92.18,76.82,92.18,0.07,1481,0.9,1.9,Adonal Foyle
1559,Adrian,1610612760,SEA,33.0,35,10,25,0.286,306.9683333333333,30,76,0.395,0,0,0.0,5,9,0.556,28,31,59,27,21,17,2,5,27,6,65,11,212.3,0,0,189.0,2,2007-08,8.8,96.3,96.2,96.2,95.9,93.0,93.0,0.4,3.2,3.2,0.134,1.29,21.3,0.087,0.105,0.096,16.5,16.4,0.395,0.406,0.141,0.146,93.78,95.31,79.42,95.31,0.063,605,0.9,2.2,Adrian Griffin
1733,Al,1610612744,GSW,28.0,81,48,33,0.593,2190.3016666666667,401,923,0.434,153,408,0.375,147,190,0.774,107,332,439,132,90,74,16,40,266,179,1102,157,2006.8,7,0,2006.0,1,2007-08,27.0,109.5,110.3,110.3,106.5,107.0,107.0,3.0,3.2,3.2,0.089,1.47,10.7,0.045,0.156,0.098,7.3,7.3,0.517,0.547,0.209,0.211,101.21,100.57,83.81,100.57,0.093,4593,5.0,11.4,Al Harrington
201143,Al,1610612737,ATL,22.0,81,37,44,0.457,2539.8866666666668,333,668,0.499,0,5,0.0,155,212,0.731,248,537,785,124,137,60,76,49,267,177,821,-114,2220.0,25,0,2002.0,1,2007-08,31.4,103.8,104.6,104.6,106.3,106.9,106.9,-2.4,-2.2,-2.2,0.078,0.91,12.1,0.102,0.223,0.162,13.4,13.4,0.499,0.539,0.16,0.162,92.77,92.16,76.8,92.16,0.104,4874,4.1,8.2,Al Horford
2744,Al,1610612750,MIN,23.0,82,22,60,0.268,2918.768333333333,721,1441,0.5,0,5,0.0,284,394,0.721,308,603,911,117,167,74,119,122,222,320,1726,-549,3406.7,55,0,3140.0,1,2007-08,35.6,100.9,102.4,102.4,112.1,112.2,112.2,-11.2,-9.8,-9.8,0.075,0.7,6.2,0.105,0.227,0.163,8.8,8.8,0.5,0.535,0.273,0.276,93.64,92.85,77.38,92.85,0.147,5648,8.8,17.6,Al Jefferson
201154,Al,1610612746,LAC,24.0,79,23,56,0.291,2157.6983333333333,374,871,0.429,43,130,0.331,214,288,0.743,98,260,358,98,128,46,43,52,195,234,1005,-404,1720.6,7,0,1682.0,1,2007-08,27.3,99.0,99.2,99.2,108.2,108.1,108.1,-9.2,-8.9,-8.9,0.084,0.77,8.0,0.047,0.125,0.086,10.5,10.5,0.454,0.504,0.238,0.242,93.79,93.72,78.1,93.72,0.083,4199,4.7,11.0,Al Thornton
201169,Alando,1610612756,PHX,24.0,6,6,0,1.0,47.96666666666667,8,22,0.364,1,4,0.25,5,6,0.833,4,4,8,0,0,0,1,3,2,5,22,-6,34.6,0,0,33.0,1,2007-08,8.0,98.2,89.7,89.7,98.4,100.0,100.0,-0.2,-10.3,-10.3,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.386,0.446,0.234,0.25,91.62,95.07,79.22,95.07,0.079,97,1.3,3.7,Alando Tucker
