PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG
201985,AJ Price,AJ,1610612754,IND,23.0,56,23,33,0.411,865.3116666666666,145,354,0.41,60,174,0.345,60,75,0.8,12,76,88,106,59,35,3,19,53,76,410,49,729.6,0,0,740.0,1,2009-10,15.5,102.0,103.2,103.2,100.6,99.3,99.3,1.4,3.9,3.9,0.198,1.8,19.4,0.013,0.085,0.049,10.8,10.7,0.494,0.53,0.219,0.225,100.51,100.54,83.78,100.54,0.103,1802,2.6,6.3
201166,Aaron Brooks,Aaron,1610612745,HOU,25.0,82,42,40,0.512,2919.423333333333,575,1331,0.432,209,525,0.398,245,298,0.822,54,161,215,434,232,69,14,80,199,250,1604,-26,2530.0,6,0,2628.0,1,2009-10,35.6,104.8,106.6,106.6,105.6,106.4,106.4,-0.7,0.2,0.2,0.253,1.87,20.5,0.018,0.057,0.037,11.0,10.9,0.511,0.549,0.254,0.258,96.77,95.6,79.67,95.6,0.103,5796,7.0,16.2
201189,Aaron Gray,Aaron,1610612740,NOH,25.0,32,11,21,0.344,310.92833333333334,42,82,0.512,0,0,0.0,20,28,0.714,45,61,106,22,18,9,11,8,54,20,104,-13,306.2,0,0,272.0,2,2009-10,9.7,102.8,100.8,100.8,104.4,104.0,104.0,-1.6,-3.1,-3.1,0.109,1.22,16.3,0.149,0.205,0.176,13.3,13.4,0.512,0.551,0.16,0.164,92.89,94.02,78.35,94.02,0.101,612,1.3,2.6
201151,Acie Law,Acie,1610612741,CHI,25.0,26,11,15,0.423,233.70666666666668,35,75,0.467,5,16,0.313,38,49,0.776,3,14,17,26,17,11,1,13,16,32,113,20,191.4,0,0,185.0,3,2009-10,9.0,115.3,112.8,112.8,108.6,107.5,107.5,6.7,5.3,5.3,0.17,1.53,18.6,0.014,0.061,0.038,12.1,12.2,0.5,0.585,0.214,0.221,96.72,98.28,81.9,98.28,0.097,476,1.3,2.9
200747,Adam Morrison,Adam,1610612747,LAL,25.0,31,23,8,0.742,240.92333333333332,32,85,0.376,5,21,0.238,5,8,0.625,10,22,32,18,10,3,2,6,17,5,74,-38,144.4,0,0,139.0,1,2009-10,7.8,98.6,98.1,98.1,107.4,106.5,106.5,-8.8,-8.3,-8.3,0.121,1.8,15.4,0.039,0.094,0.065,8.5,8.6,0.406,0.418,0.178,0.183,94.99,95.63,79.69,95.63,0.047,481,1.0,2.7
1733,Al Harrington,Al,1610612752,NYK,30.0,72,26,46,0.361,2195.298333333333,448,1030,0.435,140,409,0.342,240,317,0.757,88,317,405,110,132,62,26,51,209,264,1276,-225,2059.0,6,0,2107.0,1,2009-10,30.5,104.7,104.9,104.9,109.6,109.9,109.9,-4.8,-5.0,-5.0,0.088,0.83,7.8,0.04,0.153,0.095,9.4,9.4,0.503,0.546,0.262,0.267,96.43,96.18,80.15,96.18,0.104,4397,6.2,14.3
201143,Al Horford,Al,1610612737,ATL,24.0,81,52,29,0.642,2844.9416666666666,467,847,0.551,1,1,1.0,213,270,0.789,236,563,799,189,122,59,91,53,225,245,1148,458,2718.3,39,0,2437.0,1,2009-10,35.1,111.3,113.1,113.1,103.1,104.5,104.5,8.2,8.6,8.6,0.102,1.55,14.8,0.088,0.207,0.148,9.6,9.6,0.552,0.594,0.177,0.179,91.46,90.18,75.15,90.18,0.132,5344,5.8,10.5
2744,Al Jefferson,Al,1610612750,MIN,25.0,76,15,61,0.197,2463.16,560,1125,0.498,0,4,0.0,181,266,0.68,180,523,703,137,136,63,98,59,205,223,1301,-516,2697.1,35,0,2463.0,1,2009-10,32.4,99.0,99.6,99.6,110.0,110.0,110.0,-11.0,-10.4,-10.4,0.099,1.01,9.1,0.072,0.224,0.145,9.0,9.0,0.498,0.524,0.242,0.247,97.34,97.07,80.89,97.07,0.131,4981,7.4,14.8
201154,Al Thornton,Al,1610612764,WAS,26.0,75,25,50,0.333,2079.2366666666667,320,676,0.473,11,31,0.355,153,211,0.725,116,178,294,90,102,45,35,46,206,215,804,-304,1429.8,3,0,1359.0,2,2009-10,27.7,99.1,100.3,100.3,106.7,107.8,107.8,-7.5,-7.5,-7.5,0.072,0.88,9.4,0.057,0.092,0.074,10.6,10.6,0.482,0.523,0.189,0.192,93.08,92.04,76.7,92.04,0.069,3984,4.3,9.0
201169,Alando Tucker,Alando,1610612750,MIN,26.0,15,5,10,0.333,95.48333333333332,17,39,0.436,1,7,0.143,16,21,0.762,6,4,10,4,5,0,0,3,6,14,51,-44,64.0,0,0,66.0,2,2009-10,6.4,106.6,100.5,100.5,125.5,127.2,127.2,-18.9,-26.7,-26.7,0.077,0.8,6.9,0.058,0.039,0.049,8.6,8.7,0.449,0.529,0.229,0.243,97.8,100.04,83.37,100.04,0.068,203,1.1,2.6
