PLAYER_ID,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME
243,Aaron,1610612747,LAL,33.0,14,9,5,0.643,121.48833333333332,3,12,0.25,0,2,0.0,1,2,0.5,3,17,20,11,2,5,0,0,7,2,7,-20,60.5,0,0,48.0,1,2005-06,8.7,94.8,92.3,92.3,101.4,102.6,102.6,-6.6,-10.3,-10.3,0.147,5.5,42.3,0.026,0.143,0.085,7.7,7.7,0.25,0.272,0.058,0.06,91.01,91.66,76.39,91.66,0.068,234,0.2,0.9,Aaron McKie
101223,Aaron,1610612744,GSW,23.0,19,13,6,0.684,118.12333333333332,6,18,0.333,0,0,0.0,4,4,1.0,0,14,14,24,11,4,1,3,13,7,16,-4,72.8,0,0,64.0,1,2005-06,6.2,96.0,95.1,95.1,100.0,96.3,96.3,-3.9,-1.2,-1.2,0.308,2.18,43.6,0.0,0.136,0.065,20.0,20.1,0.333,0.405,0.11,0.113,96.64,98.95,82.46,98.95,0.064,243,0.3,0.9,Aaron Miles
1425,Aaron,1610612740,NOK,34.0,48,21,27,0.438,790.77,91,176,0.517,0,0,0.0,40,58,0.69,64,117,181,17,30,17,21,17,138,48,222,-38,548.7,1,0,496.0,2,2005-06,16.5,101.9,101.4,101.4,105.0,104.0,104.0,-3.1,-2.6,-2.6,0.036,0.57,6.8,0.085,0.16,0.122,12.0,12.1,0.517,0.551,0.135,0.138,90.86,91.51,76.25,91.51,0.063,1508,1.9,3.7,Aaron Williams
1502,Adonal,1610612744,GSW,31.0,77,32,45,0.416,1823.611666666667,152,300,0.507,0,0,0.0,41,67,0.612,143,281,424,33,80,44,125,25,215,81,345,-27,1330.3,2,0,1140.0,1,2005-06,23.7,99.4,100.3,100.3,99.7,100.1,100.1,-0.3,0.2,0.2,0.028,0.41,7.5,0.076,0.148,0.112,18.2,18.1,0.507,0.524,0.1,0.102,95.16,94.53,78.78,94.53,0.064,3575,2.0,3.9,Adonal Foyle
1559,Adrian,1610612742,DAL,31.0,52,40,12,0.769,1245.3766666666668,98,204,0.48,0,2,0.0,41,53,0.774,75,152,227,89,39,51,9,18,113,44,237,183,783.9,2,0,673.0,1,2005-06,23.9,109.2,108.5,108.5,100.1,99.9,99.9,9.0,8.6,8.6,0.107,2.28,24.9,0.067,0.133,0.1,10.9,11.0,0.48,0.521,0.099,0.101,89.68,90.09,75.08,90.09,0.081,2329,1.9,3.9,Adrian Griffin
1733,Al,1610612737,ATL,26.0,76,24,52,0.316,2781.593333333333,551,1220,0.452,66,191,0.346,243,350,0.694,132,391,523,238,195,85,14,71,301,292,1411,-333,2497.6,15,0,2436.0,1,2005-06,36.6,103.9,104.6,104.6,109.6,111.1,111.1,-5.7,-6.5,-6.5,0.155,1.22,13.1,0.05,0.157,0.102,10.8,10.8,0.479,0.513,0.257,0.26,91.93,91.01,75.84,91.01,0.105,5278,7.3,16.1,Al Harrington
2744,Al,1610612738,BOS,21.0,59,23,36,0.39,1062.4166666666667,189,379,0.499,0,4,0.0,86,134,0.642,97,202,299,30,62,30,46,43,166,117,464,-109,1033.8,5,0,945.0,1,2005-06,18.0,98.7,98.9,98.9,102.9,103.4,103.4,-4.1,-4.5,-4.5,0.055,0.48,5.7,0.099,0.198,0.149,11.7,11.7,0.499,0.53,0.215,0.22,92.24,91.96,76.64,91.96,0.113,2027,3.2,6.4,Al Jefferson
101187,Alan,1610612766,CHA,23.0,36,7,29,0.194,563.6,75,181,0.414,24,58,0.414,33,41,0.805,23,47,70,32,32,11,4,18,48,39,207,7,352.0,0,0,363.0,1,2005-06,15.7,101.4,101.8,101.8,101.7,100.5,100.5,-0.3,1.2,1.2,0.093,1.0,12.2,0.039,0.089,0.063,12.2,12.2,0.481,0.52,0.178,0.182,96.29,96.71,80.59,96.71,0.066,1132,2.1,5.0,Alan Anderson
673,Alan,1610612739,CLE,33.0,51,31,20,0.608,530.7216666666667,47,91,0.516,0,0,0.0,33,49,0.673,60,77,137,10,22,9,12,14,58,37,127,-47,347.4,1,0,316.0,1,2005-06,10.4,101.8,99.2,99.2,105.2,102.8,102.8,-3.4,-3.6,-3.6,0.032,0.45,6.9,0.113,0.148,0.13,15.2,15.2,0.516,0.564,0.114,0.118,91.33,93.61,78.01,93.61,0.078,1030,0.9,1.8,Alan Henderson
101165,Alex,1610612765,DET,23.0,5,3,2,0.6,35.10666666666667,4,16,0.25,1,5,0.2,0,0,0.0,1,4,5,4,4,1,0,2,4,1,9,-33,20.0,0,0,21.0,1,2005-06,7.0,81.0,81.8,81.8,125.4,126.3,126.3,-44.4,-44.5,-44.5,0.19,1.0,16.7,0.025,0.121,0.068,16.7,16.7,0.281,0.281,0.215,0.228,105.53,104.6,87.16,104.6,-0.012,77,0.8,3.2,Alex Acker
