PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG
920,A.C. Green,A.C.,1610612742,DAL,34.0,82,20,62,0.244,2645.5066666666667,242,534,0.453,0,4,0.0,116,162,0.716,219,449,668,123,68,78,27,33,157,2,600,-381,1833.1,14,0,1601.0,1,1997-98,32.3,97.4,98.0,98.0,104.6,105.3,105.3,-7.3,-7.3,-7.3,0.074,1.81,15.4,0.081,0.173,0.126,8.5,8.5,0.453,0.496,0.116,0.118,91.55,90.97,75.81,90.97,0.096,5007,3.0,6.5
243,Aaron McKie,Aaron,1610612755,PHI,25.0,81,34,47,0.42,1812.5416666666667,139,381,0.365,12,63,0.19,42,55,0.764,58,173,231,175,76,101,13,35,164,1,332,25,1137.7,0,0,978.0,2,1997-98,22.4,98.7,98.1,98.1,97.2,96.3,96.3,1.5,1.8,1.8,0.159,2.3,26.7,0.032,0.098,0.064,11.6,11.6,0.381,0.41,0.117,0.121,92.06,92.74,77.28,92.74,0.063,3483,1.7,4.7
1425,Aaron Williams,Aaron,1610612760,SEA,26.0,65,49,16,0.754,756.795,116,221,0.525,0,1,0.0,66,85,0.776,49,99,148,14,50,19,38,25,119,1,298,63,617.6,0,0,574.0,1,1997-98,11.6,105.6,103.5,103.5,99.9,98.3,98.3,5.6,5.2,5.2,0.029,0.28,4.3,0.072,0.128,0.102,15.4,15.5,0.525,0.577,0.179,0.186,95.91,97.71,81.42,97.71,0.071,1532,1.8,3.4
228,Adam Keefe,Adam,1610612762,UTA,28.0,80,61,19,0.763,2047.0916666666667,229,424,0.54,0,0,0.0,162,200,0.81,179,259,438,89,71,52,24,52,172,2,620,428,1436.1,5,0,1299.0,1,1997-98,25.6,111.4,113.4,113.4,101.5,102.4,102.4,9.9,11.0,11.0,0.063,1.25,13.2,0.103,0.131,0.118,10.5,10.6,0.54,0.605,0.131,0.131,91.94,90.74,75.62,90.74,0.094,3871,2.9,5.3
1502,Adonal Foyle,Adonal,1610612744,GSW,23.0,55,9,46,0.164,657.3683333333333,69,170,0.406,0,1,0.0,27,62,0.435,73,111,184,14,50,13,52,19,94,1,165,-168,551.8,0,0,493.0,1,1997-98,12.0,88.2,86.9,86.9,100.4,99.5,99.5,-12.1,-12.6,-12.6,0.037,0.28,5.3,0.098,0.157,0.127,19.0,19.1,0.406,0.418,0.158,0.162,94.6,95.69,79.74,95.69,0.048,1309,1.3,3.1
154,Adrian Caldwell,Adrian,1610612742,DAL,31.0,1,1,0,1.0,2.716666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1997-98,2.7,140.0,116.7,116.7,121.5,116.7,116.7,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.06,106.01,88.34,106.01,0.0,6,0.0,0.0
673,Alan Henderson,Alan,1610612737,ATL,25.0,69,42,27,0.609,2006.3433333333328,365,753,0.485,3,6,0.5,253,388,0.652,200,242,442,73,110,40,36,77,175,1,986,90,1743.9,12,0,1656.0,1,1997-98,29.1,105.1,105.4,105.4,101.8,102.8,102.8,3.3,2.6,2.6,0.068,0.66,6.6,0.102,0.118,0.11,9.9,9.9,0.487,0.534,0.231,0.235,91.62,91.02,75.85,91.02,0.106,3800,5.3,10.9
275,Allan Houston,Allan,1610612752,NYK,27.0,82,43,39,0.524,2849.353333333333,571,1277,0.447,82,213,0.385,285,335,0.851,43,231,274,212,200,63,24,64,207,1,1509,129,2216.8,1,0,2251.0,1,1997-98,34.7,100.5,100.6,100.6,97.8,98.6,98.6,2.7,2.1,2.1,0.14,1.06,11.6,0.016,0.084,0.05,10.9,10.9,0.479,0.53,0.261,0.266,91.25,90.81,75.67,90.81,0.105,5399,7.0,15.6
947,Allen Iverson,Allen,1610612755,PHI,23.0,80,31,49,0.388,3152.1966666666667,649,1407,0.461,70,235,0.298,390,535,0.729,86,210,296,494,244,176,25,107,200,0,1758,-93,3213.2,12,0,3020.0,1,1997-98,39.4,101.4,102.4,102.4,104.2,104.3,104.3,-2.8,-1.9,-1.9,0.294,2.02,20.7,0.028,0.069,0.048,10.2,10.3,0.486,0.535,0.264,0.267,93.23,92.67,77.23,92.67,0.135,6097,8.1,17.6
297,Alonzo Mourning,Alonzo,1610612748,MIA,28.0,58,39,19,0.672,1939.3166666666664,404,733,0.551,0,0,0.0,309,465,0.665,194,365,559,52,179,40,130,58,208,7,1117,427,2196.8,24,0,2068.0,1,1997-98,33.4,107.5,108.7,108.7,95.5,96.4,96.4,12.0,12.2,12.2,0.052,0.29,4.4,0.108,0.19,0.151,15.3,15.3,0.551,0.596,0.269,0.273,88.69,87.75,73.13,87.75,0.155,3542,7.0,12.6
175,Alton Lister,Alton,1610612757,POR,39.0,7,5,2,0.714,43.48833333333334,3,8,0.375,0,0,0.0,0,0,0.0,2,9,11,1,2,1,1,1,12,0,6,-5,24.7,0,0,22.0,1,1997-98,6.2,75.9,79.0,79.0,85.4,83.1,83.1,-9.5,-4.1,-4.1,0.04,0.5,9.1,0.045,0.191,0.121,18.2,18.2,0.375,0.375,0.105,0.104,91.08,90.51,75.42,90.51,-0.006,81,0.4,1.1
1541,Alvin Williams,Alvin,1610612761,TOR,23.0,54,24,30,0.444,1067.5383333333334,125,282,0.443,9,28,0.321,65,90,0.722,24,57,81,103,58,38,3,18,79,0,324,-5,640.7,0,0,599.0,2,1997-98,19.8,102.2,101.2,101.2,101.1,101.1,101.1,1.1,0.1,0.1,0.156,1.78,21.3,0.024,0.049,0.037,12.0,12.0,0.459,0.504,0.155,0.158,95.48,95.93,79.94,95.93,0.069,2130,2.3,5.2
