TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
1610612737,Atlanta Hawks,82,43,39,0.524,3941.0,3401,7241,0.47,1056,2821,0.374,1485,1829,0.812,823,2783,3606,2017,972.0,587,348,367,1534,1668,9343,128.0,2021-22,114.0,115.4,112.1,113.7,1.9,1.6,0.593,2.08,18.1,0.269,0.731,0.501,0.12,0.543,0.581,100.0,98.67,82.22,8099,0.509
1610612738,Boston Celtics,82,51,31,0.622,3981.0,3341,7167,0.466,1085,3044,0.356,1397,1713,0.816,863,2915,3778,2036,1118.0,591,478,376,1521,1592,9164,597.0,2021-22,112.1,113.6,104.0,106.2,8.1,7.4,0.609,1.82,18.2,0.277,0.725,0.509,0.139,0.542,0.578,99.0,97.26,81.05,8068,0.547
1610612751,Brooklyn Nets,82,44,38,0.537,3951.0,3442,7251,0.475,940,2602,0.361,1434,1781,0.805,844,2796,3640,2071,1153.0,582,448,403,1670,1616,9258,64.0,2021-22,111.0,113.2,109.6,112.3,1.3,0.9,0.602,1.8,18.3,0.281,0.704,0.499,0.141,0.54,0.576,101.6,99.4,82.83,8177,0.512
1610612766,Charlotte Hornets,82,43,39,0.524,3976.0,3508,7497,0.468,1143,3130,0.365,1298,1753,0.74,888,2767,3655,2302,1087.0,707,402,377,1629,1609,9457,36.0,2021-22,111.7,113.6,111.0,113.1,0.7,0.5,0.656,2.12,19.6,0.27,0.706,0.486,0.131,0.544,0.572,102.3,100.52,83.76,8322,0.504
1610612741,Chicago Bulls,82,46,36,0.561,3946.0,3422,7127,0.48,872,2364,0.369,1436,1766,0.813,711,2760,3471,1958,1053.0,585,336,410,1540,1489,9152,-32.0,2021-22,111.0,112.7,111.1,113.2,-0.1,-0.5,0.572,1.86,17.8,0.249,0.735,0.495,0.13,0.541,0.579,100.4,98.76,82.3,8124,0.496
1610612739,Cleveland Cavaliers,82,44,38,0.537,3946.0,3255,6940,0.469,953,2686,0.355,1376,1810,0.76,837,2786,3623,2064,1181.0,580,343,380,1433,1638,8839,174.0,2021-22,109.4,111.0,107.0,108.9,2.4,2.1,0.634,1.75,18.7,0.277,0.724,0.506,0.148,0.538,0.571,98.4,96.83,80.69,7964,0.517
1610612742,Dallas Mavericks,82,52,30,0.634,3951.0,3222,6982,0.461,1073,3063,0.35,1341,1739,0.771,759,2769,3528,1918,1025.0,552,325,300,1612,1645,8858,271.0,2021-22,110.5,112.5,106.8,109.1,3.7,3.5,0.595,1.87,17.8,0.256,0.733,0.496,0.13,0.538,0.572,97.5,95.64,79.7,7871,0.511
1610612743,Denver Nuggets,82,48,34,0.585,3961.0,3416,7079,0.483,1039,2944,0.353,1372,1725,0.795,752,2865,3617,2279,1189.0,592,305,392,1639,1632,9243,189.0,2021-22,111.7,113.8,110.3,111.5,1.4,2.3,0.667,1.92,20.0,0.268,0.752,0.515,0.146,0.556,0.59,99.9,98.41,82.01,8123,0.516
1610612765,Detroit Pistons,82,23,59,0.28,3956.0,3129,7267,0.431,925,2838,0.326,1413,1806,0.782,900,2625,3525,1924,1163.0,630,393,427,1799,1625,8596,-633.0,2021-22,103.3,105.6,111.1,113.3,-7.9,-7.7,0.615,1.65,17.1,0.276,0.707,0.481,0.143,0.494,0.533,100.9,98.81,82.34,8141,0.45
1610612744,Golden State Warriors,82,53,29,0.646,3946.0,3323,7087,0.469,1176,3231,0.364,1280,1665,0.769,800,2930,3730,2223,1221.0,719,372,317,1723,1474,9102,454.0,2021-22,110.5,112.1,103.9,106.6,6.5,5.5,0.669,1.82,19.5,0.269,0.736,0.51,0.15,0.552,0.582,100.7,98.74,82.28,8121,0.536
1610612745,Houston Rockets,82,20,62,0.244,3951.0,3229,7083,0.456,1105,3170,0.349,1434,2010,0.713,786,2660,3446,1932,1351.0,600,382,474,1692,1812,8997,-695.0,2021-22,105.4,108.1,114.4,116.4,-9.0,-8.3,0.598,1.43,17.1,0.265,0.71,0.485,0.162,0.534,0.565,103.3,101.16,84.3,8323,0.451
1610612754,Indiana Pacers,82,25,57,0.305,3976.0,3398,7338,0.463,997,2899,0.344,1347,1754,0.768,925,2671,3596,2081,1183.0,582,457,401,1675,1575,9140,-285.0,2021-22,109.2,111.9,113.9,115.5,-4.6,-3.6,0.612,1.76,18.1,0.31,0.725,0.512,0.145,0.531,0.564,100.5,98.55,82.13,8166,0.478
1610612746,LA Clippers,82,42,40,0.512,3956.0,3285,7170,0.458,1047,2802,0.374,1273,1606,0.793,747,2860,3607,1969,1126.0,608,406,339,1528,1515,8890,2.0,2021-22,107.7,109.5,107.5,109.5,0.2,0.0,0.599,1.75,17.7,0.254,0.706,0.486,0.139,0.531,0.564,100.2,98.51,82.09,8121,0.502
1610612747,Los Angeles Lakers,82,33,49,0.402,3996.0,3415,7279,0.469,982,2826,0.347,1380,1884,0.732,782,2826,3608,1968,1191.0,626,425,338,1654,1647,9192,-250.0,2021-22,107.9,110.0,110.9,112.8,-3.0,-2.9,0.576,1.65,17.3,0.256,0.72,0.49,0.142,0.537,0.567,102.3,100.47,83.73,8360,0.482
1610612763,Memphis Grizzlies,82,56,26,0.683,3956.0,3571,7739,0.461,945,2679,0.353,1393,1898,0.734,1159,2873,4032,2131,1082.0,800,533,496,1620,1625,9480,466.0,2021-22,111.6,114.3,106.2,108.9,5.4,5.3,0.597,1.97,17.9,0.338,0.726,0.526,0.13,0.522,0.553,103.1,100.52,83.77,8295,0.53
1610612748,Miami Heat,82,53,29,0.646,3971.0,3246,6954,0.467,1114,2936,0.379,1416,1753,0.808,807,2778,3585,2090,1194.0,606,265,330,1679,1686,9022,365.0,2021-22,111.2,113.0,106.3,108.4,4.9,4.5,0.644,1.75,18.8,0.278,0.735,0.51,0.149,0.547,0.584,98.2,96.53,80.44,7987,0.529
1610612749,Milwaukee Bucks,82,51,31,0.622,3951.0,3429,7331,0.468,1153,3151,0.366,1459,1881,0.776,840,2990,3830,1960,1100.0,623,326,357,1494,1612,9470,275.0,2021-22,112.5,114.3,109.4,111.1,3.1,3.2,0.572,1.78,17.3,0.269,0.747,0.512,0.133,0.546,0.58,102.2,100.59,83.83,8284,0.516
