TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
1610612737,Atlanta Hawks,82,48,34,0.585,3966.0,3168,6923,0.458,815,2326,0.35,1282,1638,0.783,679,2772,3451,2100,1226.0,747,486,411,1570,1500,8433,296.0,2015-16,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528
1610612738,Boston Celtics,82,48,34,0.585,3956.0,3216,7318,0.439,717,2142,0.335,1520,1929,0.788,950,2733,3683,1981,1127.0,752,348,450,1796,1718,8669,263.0,2015-16,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52
1610612751,Brooklyn Nets,82,21,61,0.256,3951.0,3136,6920,0.453,531,1508,0.352,1286,1699,0.757,863,2614,3477,1829,1212.0,627,332,430,1476,1510,8089,-603.0,2015-16,100.9,102.4,108.5,109.7,-7.6,-7.4,0.583,1.51,17.0,0.279,0.716,0.494,0.153,0.492,0.527,97.4,96.12,80.1,7903,0.46
1610612766,Charlotte Hornets,82,48,34,0.585,3971.0,3036,6922,0.439,873,2410,0.362,1534,1941,0.79,734,2869,3603,1778,1029.0,595,438,448,1487,1670,8479,223.0,2015-16,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511
1610612741,Chicago Bulls,82,42,40,0.512,3981.0,3165,7170,0.441,651,1753,0.371,1354,1720,0.787,907,2889,3796,1870,1141.0,495,470,465,1545,1535,8335,-121.0,2015-16,102.1,104.1,103.9,105.5,-1.8,-1.4,0.591,1.64,17.0,0.29,0.714,0.506,0.142,0.487,0.526,98.2,96.6,80.5,8008,0.494
1610612739,Cleveland Cavaliers,82,57,25,0.695,3971.0,3171,6888,0.46,880,2428,0.362,1333,1783,0.748,873,2777,3650,1861,1114.0,551,317,362,1666,1690,8555,492.0,2015-16,108.1,110.2,102.3,103.9,5.8,6.3,0.587,1.67,17.4,0.294,0.742,0.519,0.143,0.524,0.558,95.5,93.82,78.19,7764,0.528
1610612742,Dallas Mavericks,82,42,40,0.512,4001.0,3064,6900,0.444,806,2342,0.344,1454,1831,0.794,751,2781,3532,1813,1047.0,560,306,363,1595,1757,8388,-25.0,2015-16,104.8,105.5,104.3,105.9,0.6,-0.4,0.592,1.73,17.0,0.241,0.723,0.484,0.132,0.502,0.544,96.4,95.34,79.45,7950,0.503
1610612743,Denver Nuggets,82,33,49,0.402,3966.0,3093,7003,0.442,656,1943,0.338,1513,1974,0.766,941,2718,3659,1858,1202.0,609,395,517,1723,1712,8355,-254.0,2015-16,102.7,104.9,106.4,108.2,-3.7,-3.3,0.601,1.55,16.9,0.304,0.732,0.513,0.151,0.489,0.531,98.2,96.34,80.28,7963,0.479
1610612765,Detroit Pistons,82,44,38,0.537,3976.0,3111,7087,0.439,740,2148,0.345,1399,2095,0.668,1021,2777,3798,1594,1110.0,573,304,366,1557,1773,8361,50.0,2015-16,103.3,105.3,103.4,104.9,-0.2,0.3,0.512,1.44,14.8,0.313,0.753,0.521,0.14,0.491,0.522,97.4,95.75,79.79,7942,0.486
1610612744,Golden State Warriors,82,73,9,0.89,3976.0,3489,7159,0.487,1077,2592,0.416,1366,1790,0.763,816,2972,3788,2373,1245.0,689,498,336,1701,1627,9421,882.0,2015-16,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567
1610612745,Houston Rockets,82,41,41,0.5,3966.0,3094,6847,0.452,878,2533,0.347,1671,2407,0.694,930,2601,3531,1821,1307.0,821,430,404,1790,1847,8737,16.0,2015-16,105.5,107.3,105.6,107.3,-0.2,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,100.1,98.42,82.02,8139,0.49
1610612754,Indiana Pacers,82,45,37,0.549,3976.0,3142,6985,0.45,663,1889,0.351,1430,1872,0.764,847,2779,3626,1741,1219.0,742,391,366,1641,1676,8377,140.0,2015-16,102.4,103.8,100.2,102.2,2.2,1.6,0.554,1.43,16.1,0.271,0.714,0.494,0.151,0.497,0.536,99.0,97.35,81.13,8068,0.518
1610612746,LA Clippers,82,53,29,0.646,3966.0,3141,6759,0.465,797,2190,0.364,1490,2152,0.692,721,2727,3448,1873,1063.0,709,460,259,1746,1842,8569,351.0,2015-16,106.5,107.2,100.9,102.7,5.5,4.5,0.596,1.76,17.4,0.234,0.697,0.472,0.133,0.524,0.556,98.0,96.81,80.68,7995,0.533
