TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
1610612737,Atlanta Hawks,82,33,49,0.402,3956.0,2901,6610,0.439,423,1194,0.354,1486,1942,0.765,955,2445,3400,1655,1274.0,666,349,508,1702,9,7711,-347.0,2001-02,3956.0,99.1,100.4,103.7,104.8,-4.6,-4.4,0.57,1.3,15.8,0.297,0.689,0.491,0.166,0.471,0.517,94.4,93.21,77.67,7678,0.465
1610612738,Boston Celtics,82,49,33,0.598,3966.0,2852,6731,0.424,699,1946,0.359,1498,1960,0.764,891,2570,3461,1722,1114.0,793,292,476,1776,3,7901,181.0,2001-02,3966.0,101.1,102.1,98.0,99.9,3.1,2.2,0.604,1.55,16.4,0.272,0.695,0.481,0.144,0.476,0.52,95.0,93.6,78.0,7738,0.5
1610612766,Charlotte Hornets,82,44,38,0.537,3951.0,2893,6580,0.44,346,994,0.348,1568,2105,0.745,1059,2505,3564,1759,1150.0,653,456,422,1747,15,7700,79.0,2001-02,3951.0,101.4,102.9,100.0,101.8,1.4,1.2,0.608,1.53,16.7,0.333,0.689,0.511,0.154,0.466,0.513,92.5,90.93,75.77,7480,0.513
1610612741,Chicago Bulls,82,21,61,0.256,3961.0,2811,6491,0.433,300,868,0.346,1413,1958,0.722,924,2359,3283,1817,1252.0,633,361,399,1834,13,7335,-700.0,2001-02,3961.0,95.5,97.2,104.8,106.2,-9.3,-9.1,0.646,1.45,17.3,0.298,0.685,0.487,0.166,0.456,0.499,93.0,91.56,76.3,7549,0.436
1610612739,Cleveland Cavaliers,82,29,53,0.354,3971.0,2948,6582,0.448,387,1026,0.377,1529,1980,0.772,968,2483,3451,1891,1196.0,572,470,459,1752,10,7812,-273.0,2001-02,3971.0,101.7,103.4,105.0,107.0,-3.3,-3.6,0.641,1.58,17.8,0.319,0.69,0.505,0.158,0.477,0.524,93.0,91.31,76.09,7553,0.482
1610612742,Dallas Mavericks,82,57,25,0.695,3975.94,3200,6930,0.462,621,1645,0.378,1608,1994,0.806,918,2568,3486,1811,992.0,581,392,377,1842,8,8629,349.0,2001-02,3976.0,109.5,110.3,104.8,106.0,4.7,4.3,0.566,1.83,16.9,0.285,0.683,0.487,0.127,0.507,0.553,95.3,94.36,78.63,7823,0.517
1610612743,Denver Nuggets,82,27,55,0.329,3961.0,2915,6870,0.424,423,1285,0.329,1306,1756,0.744,1117,2310,3427,1817,1205.0,613,462,560,1873,9,7559,-477.0,2001-02,3961.0,97.8,100.3,104.9,106.6,-7.1,-6.3,0.623,1.51,17.0,0.341,0.668,0.497,0.16,0.455,0.495,93.3,91.35,76.12,7537,0.442
1610612765,Detroit Pistons,82,50,32,0.61,3936.0,2845,6301,0.452,567,1509,0.376,1478,1954,0.756,811,2366,3177,1765,1193.0,648,565,335,1695,6,7735,175.0,2001-02,3936.0,102.5,103.2,99.3,100.9,3.3,2.3,0.62,1.48,17.3,0.277,0.676,0.481,0.159,0.497,0.54,92.4,91.38,76.15,7495,0.523
1610612744,Golden State Warriors,82,21,61,0.256,3956.0,2998,6989,0.429,320,994,0.322,1693,2344,0.722,1334,2493,3827,1706,1378.0,650,523,516,1884,19,8009,-443.0,2001-02,3956.0,99.3,101.5,105.6,107.1,-6.3,-5.6,0.569,1.24,15.3,0.373,0.669,0.516,0.175,0.452,0.499,97.5,95.75,79.79,7890,0.456
1610612745,Houston Rockets,82,28,54,0.341,3996.0,2837,6629,0.428,496,1480,0.335,1402,1893,0.741,1025,2411,3436,1482,1156.0,537,445,415,1476,11,7572,-401.0,2001-02,3996.0,99.7,101.6,105.9,106.9,-6.1,-5.4,0.522,1.28,14.6,0.327,0.675,0.497,0.155,0.465,0.507,90.8,89.56,74.63,7456,0.458
