TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
1610612737,Atlanta Hawks,82,40,42,0.488,3956.0,3556,7528,0.472,1107,3089,0.358,1472,1900,0.775,974,2675,3649,2426,1273.0,798,419,403,1564,1563,9691,-93.0,2024-25,111.9,113.7,112.6,114.8,-0.8,-1.1,0.682,1.91,19.9,0.3,0.715,0.503,0.149,0.546,0.579,105.2,103.41,86.17,8521,0.498
1610612738,Boston Celtics,82,61,21,0.744,3966.0,3413,7382,0.462,1457,3955,0.368,1251,1565,0.799,933,2783,3716,2144,973.0,589,452,295,1303,1438,9534,747.0,2024-25,117.5,119.5,108.0,110.1,9.6,9.4,0.628,2.2,19.0,0.291,0.717,0.506,0.122,0.561,0.591,98.3,96.59,80.49,7979,0.542
1610612751,Brooklyn Nets,82,26,56,0.317,3956.0,3086,7060,0.437,1113,3232,0.344,1334,1696,0.787,894,2493,3387,2063,1244.0,639,352,457,1698,1550,8619,-583.0,2024-25,105.7,108.1,112.8,115.4,-7.1,-7.3,0.669,1.66,18.4,0.294,0.699,0.487,0.156,0.516,0.552,99.0,96.73,80.61,7970,0.452
1610612766,Charlotte Hornets,82,19,63,0.232,3951.0,3142,7308,0.43,1065,3143,0.339,1269,1621,0.783,1003,2703,3706,1994,1271.0,607,368,435,1535,1488,8618,-747.0,2024-25,104.0,106.7,113.8,115.7,-9.9,-9.1,0.635,1.57,17.5,0.308,0.705,0.5,0.157,0.503,0.537,100.3,98.22,81.85,8079,0.45
1610612741,Chicago Bulls,82,39,43,0.476,3951.0,3543,7545,0.47,1266,3447,0.367,1308,1617,0.809,825,2935,3760,2383,1203.0,621,386,417,1444,1374,9660,-128.0,2024-25,111.9,113.2,112.5,114.8,-0.6,-1.6,0.673,1.98,19.9,0.26,0.722,0.496,0.141,0.553,0.585,105.3,103.61,86.34,8532,0.495
1610612739,Cleveland Cavaliers,82,64,18,0.78,3951.0,3652,7444,0.491,1303,3401,0.383,1392,1793,0.776,917,2806,3723,2304,1082.0,670,350,361,1487,1553,9999,782.0,2024-25,119.1,121.0,109.0,111.8,10.1,9.2,0.631,2.13,19.6,0.296,0.7,0.505,0.131,0.578,0.607,102.4,100.31,83.59,8267,0.546
1610612742,Dallas Mavericks,82,39,43,0.476,3946.0,3443,7194,0.479,1020,2801,0.364,1458,1894,0.77,828,2702,3530,2070,1151.0,636,445,375,1458,1532,9364,-98.0,2024-25,112.1,113.7,113.0,115.0,-0.9,-1.3,0.601,1.8,18.2,0.271,0.694,0.488,0.14,0.549,0.583,101.7,100.15,83.46,8238,0.496
1610612743,Denver Nuggets,82,50,32,0.61,3971.0,3724,7360,0.506,984,2619,0.376,1470,1909,0.77,919,2832,3751,2542,1169.0,656,402,420,1444,1562,9902,319.0,2024-25,117.2,118.9,113.1,115.1,4.1,3.8,0.683,2.17,21.1,0.311,0.709,0.52,0.14,0.573,0.604,102.3,100.67,83.89,8328,0.529
1610612765,Detroit Pistons,82,44,38,0.537,3961.0,3503,7363,0.476,1051,2901,0.362,1414,1826,0.774,931,2739,3670,2165,1219.0,652,431,413,1695,1551,9471,156.0,2024-25,112.0,114.6,110.1,112.5,1.9,2.1,0.618,1.78,18.6,0.305,0.714,0.511,0.147,0.547,0.58,102.5,100.27,83.56,8268,0.509
1610612744,Golden State Warriors,82,48,34,0.585,3946.0,3342,7412,0.451,1264,3475,0.364,1383,1811,0.764,1029,2692,3721,2386,1152.0,771,391,441,1571,1523,9331,271.0,2024-25,112.0,114.2,108.9,111.0,3.1,3.2,0.714,2.07,20.1,0.314,0.716,0.509,0.141,0.536,0.568,101.3,99.37,82.81,8173,0.515
1610612745,Houston Rockets,82,52,30,0.634,3956.0,3484,7659,0.455,1038,2938,0.353,1366,1851,0.738,1200,2774,3974,1914,1139.0,689,411,467,1557,1577,9372,370.0,2024-25,111.4,114.9,108.0,110.3,3.4,4.6,0.549,1.68,16.4,0.363,0.715,0.533,0.14,0.523,0.553,101.6,99.03,82.53,8159,0.515
1610612754,Indiana Pacers,82,50,32,0.61,3971.0,3574,7326,0.488,1081,2934,0.368,1395,1768,0.789,752,2678,3430,2398,1082.0,694,448,366,1533,1541,9624,183.0,2024-25,114.1,115.4,111.3,113.3,2.8,2.1,0.671,2.22,20.5,0.254,0.705,0.483,0.13,0.562,0.594,102.2,100.76,83.97,8341,0.521
