PLAYER_ID,PLAYER_NAME,ROOKIE_SOURCE,GP,RPG,APG,MPG,PPG,TS_PCT,USG_PCT
1643411,Darius Acuff Jr.,NCAA,36.0,3.1,6.4,35.2,23.5,0.604,0.294
1642369,Michael Ajayi,NCAA,32.0,11.1,3.2,33.6,16.4,0.516,0.272
1643417,Nate Ament,NCAA,35.0,6.3,2.3,29.7,16.7,0.534,0.291
1643515,Christian Anderson,NCAA,33.0,3.6,7.4,38.4,18.5,0.626,0.239
1643591,Tobe Awaka,NCAA,39.0,9.1,0.8,20.8,9.3,0.617,0.196
1642926,Tamar Bates,G-LEAGUE,1.0,3.0,0.0,33.1,18.0,0.67,0.16
1641844,Tarik Biberovic,INTERNATIONAL,61.0,3.3,1.7,23.5,11.4,0.617,0.209
1643548,Tyler Bilodeau,NCAA,31.0,5.6,1.1,30.3,17.6,0.656,0.259
1642927,Nate Bittle,NCAA,25.0,6.9,2.6,31.1,16.8,0.563,0.281
1643409,Cameron Boozer,NCAA,38.0,10.2,4.1,33.5,22.5,0.653,0.3
1643573,Kylan Boswell,NCAA,30.0,4.0,3.0,30.0,12.3,0.559,0.204
1643558,Jaden Bradley,NCAA,39.0,3.4,4.4,30.6,13.3,0.568,0.21
1642350,Trevon Brazile,NCAA,36.0,7.3,1.6,31.5,13.0,0.619,0.176
1643576,Maliq Brown,NCAA,38.0,5.2,1.6,20.3,4.9,0.634,0.127
1643414,Mikel Brown Jr.,NCAA,21.0,3.3,4.7,29.0,18.2,0.577,0.308
1643415,Brayden Burries,NCAA,39.0,4.9,2.4,29.8,16.1,0.616,0.232
1643418,Cameron Carr,NCAA,34.0,5.8,2.6,33.6,18.9,0.622,0.254
1643572,Rafael Castro,NCAA,29.0,9.1,1.7,27.2,15.3,0.645,0.243
1643416,Chris Cenac Jr.,NCAA,37.0,7.9,0.7,24.8,9.5,0.546,0.201
1643553,Ryan Conwell,NCAA,34.0,4.8,2.7,30.9,18.8,0.566,0.295
1643595,Quadir Copeland,NCAA,34.0,3.6,6.5,28.8,13.9,0.592,0.257
1643620,Tucker DeVries,NCAA,32.0,5.2,3.3,34.3,13.7,0.546,0.22
1643738,Malik Dia,NCAA,35.0,5.7,0.8,24.3,14.5,0.516,0.331
